date,finished,treatment,criterion,instruct_duration,task_duration,task_per_min,task_total,mistake_total,recorded_mistake_total,gender,race,race_other,age,income,edu,econ,mouse,achieve_attempt,speed_goal,accuracy_goal,reason_noattempt,reason_noattempt_other,explain_help,fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,rand_5,rand_7.5,rand_10,rand_12.5,rand_15,rand_17.5,rand_20
2025-03-08T21:56:25Z,true,1,strict,39.378,310,6,31,0,0,male,white,white,24,"120,000 - 199,999",college/ university degree and equivalent or above,yes,yes,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1000,1000,0,0,0,0,0,1000,1000
2025-03-08T22:13:21Z,true,1,strict,12.405,304,5.328947368421052,27,3,3,male,asian,asian,23,"0 - 24,999",college/ university degree and equivalent or above,yes,yes,NA,below 8,below 10%,NA,NA,NA,300,325,350,375,400,450,500,280,300,320,340,350,460,480
2025-03-08T22:17:08Z,true,2,lenient,20.941,304,4.7368421052631575,24,2,0.5,female,asian,asian,24,"200,000 and over",college/ university degree and equivalent or above,no,no,yes but only for accuracy target,8,below 10%,too difficult to achieve target(s),too difficult to achieve target(s),yes,25,38,50,63,75,88,100,40,50,60,70,80,90,100
2025-03-08T23:51:48Z,true,4,strict,79.23,303,4.752475247524752,24,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-09T00:33:35Z,true,2,lenient,77.676,308,3.896103896103896,20,0,0,female,white,white,22,"50,000 - 74,999",college/ university degree and equivalent or above,no,no,yes but only for accuracy target,9,below 10%,too difficult to achieve target(s),too difficult to achieve target(s),yes,100,200,300,500,800,750,900,50,100,500,550,575,600,300
2025-03-09T00:49:03Z,true,4,lenient,102.163,303,6.138613861386139,31,0,0,non-binary,other,mixed,24,"50,000 - 74,999",college/ university degree and equivalent or above,no,yes,yes but only for accuracy target,9,below 10%,did not care about target(s),did not care about target(s),NA,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2025-03-09T02:13:15Z,true,1,strict,47.18,304,4.934210526315789,25,0,0,female,white,white,26,"0 - 24,999",NA,yes,yes,NA,below 8,below 10%,NA,NA,NA,250,300,400,450,600,700,700,150,200,250,400,450,500,600
2025-03-09T22:11:24Z,true,4,lenient,82.507,315,3.8095238095238093,20,1,0.25,female,asian,asian,23,prefer not to say,college/ university degree and equivalent or above,no,no,yes but only for accuracy target,9,below 10%,other,it is more certain to get the accuracy right each time (for each slider),NA,2,3,4,5,5,6,7,3,6,4,7,5,5,15
2025-03-10T01:03:09Z,true,4,lenient,14.508,301,6.179401993355482,31,0,0,male,white,white,24,"200,000 and over",college/ university degree and equivalent or above,yes,yes,yes but only for accuracy target,9,below 10%,too difficult to achieve target(s),too difficult to achieve target(s),NA,0,0,100,200,320,360,400,0,0,0,0,100,200,360
2025-03-10T02:26:23Z,true,1,strict,46.517,300,5.8,29,2,2,female,asian,asian,24,prefer not to say,college/ university degree and equivalent or above,no,yes,NA,8,below 10%,NA,NA,NA,15,50,80,250,100,280,300,25,50,100,200,240,280,300
2025-03-10T08:32:47Z,true,3,lenient,57.257,305,3.9344262295081966,20,1,0.25,female,asian,asian,22,"200,000 and over",college/ university degree and equivalent or above,no,no,yes but only for accuracy target,below 8,below 10%,NA,"too difficult to achieve target(s),did not care about target(s)",no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-11T02:43:43Z,true,2,strict,286.924,315,3.4285714285714284,18,0,0,female,asian,asian,22,"50,000 - 74,999",college/ university degree and equivalent or above,yes,no,yes but only for accuracy target,below 8,below 10%,too difficult to achieve target(s),too difficult to achieve target(s),no,5,7,10,12.5,15,18,20,3,10,5,10,8,20,30
2025-03-11T14:06:23Z,true,1,strict,24.411,309,6.213592233009709,32,2,2,male,asian,asian,24,"50,000 - 74,999",college/ university degree and equivalent or above,yes,no,NA,below 8,below 10%,NA,NA,NA,0,0,0,1000,1000,1000,1000,0,0,0,1000,1000,1000,1000
